Name,Longitude,Latitude,Elevation
Historic Baker Neighborhood Community Garden,-104.9896432,39.71504707,1606.234344
West Washington Park Community Garden,-104.9841356,39.71980666,1609.692403
Casa Verde Community Garden,-104.9966376,39.72267291,1603.836141
Elati Community Garden,-104.9937612,39.72970426,1599.681392
Shoshone Community Garden,-105.0094158,39.76298454,1606.922276
El Oasis Community Garden,-105.0088198,39.76604198,1609.375424
36th and Lafayette Community Garden,-104.9706566,39.76716097,1589.224468
Gove Community Garden,-104.9409777,39.737162,1617.56442
San Rafael Community Garden,-104.976118,39.75039754,1603.078596
Morey Middle School Community Garden,-104.9774168,39.73782936,1615.237607
Depot Park Community Garden,-104.995022,39.66073948,1618.412359
Academia Sandoval School Community Garden,-105.0152103,39.7658117,1620.709916
Barnum Community Garden and Orchard,-105.0346145,39.71920023,1611.446163
Farmers Community Garden,-104.9934714,39.5354428,1748.722846
Common Earth Community Garden,-105.1293292,39.82617213,1658.795633
Arvada Community Garden,-105.0996625,39.80071248,1638.714044
Regis University Community Garden,-105.0342113,39.79220249,1627.040467
McMeen School Community Garden,-104.9194959,39.69812623,1641.347584
Cole Community Garden,-104.9710996,39.76221043,1590.927277
Delaney Community Garden,-104.8072789,39.71473206,1657.379812
Samuels Community Garden,-104.8925941,39.64352416,1693.477157
DU Bridge Community Garden,-104.9638376,39.67439944,1634.012395
Cook Park Community Garden,-104.9203691,39.68591454,1661.237206
Wild Sage Community Garden,-104.8861017,39.66799452,1663.161689
City Lights Community Garden,-104.9813756,39.74915483,1600.353256