Garden: Garden Name,Garden Geolocation (Latitude),Garden Geolocation (Longitude),Full Address,County,Neighborhood,Status,Number of Plots (Approximate),Total Square Footage (Approximate),Year Established,Website Page URL,Garden: ID,Micro-Network,Public Private,Zip Code,Category,Garden Type,Current Status,Garden Classification
17th St Community Garden,39.754354,-105.001652,"17th & Wewatta, Denver, CO 80202",Denver,,Design Stage,,,,,a213l000003PonM,,Public,80202,General,Garden,Design Stage - Public  Garden,Public  Garden
36th & Lafayette Community Garden,39.767187,-104.970687,"3600 Lafayette Street, Denver, CO 80205",Denver,Cole,Active,14,3500,2015,https://dug.org/find-gardens/36th-&-Lafayette-Community-Garden/,a211N000002Jm7v,2-Orange: Midtown Mung Beans,Public,80205,General,Garden,Active - Public  Garden,Public  Garden
39th Avenue Community Garden,39.771122,-104.96554,"39th and Williams, Denver, CO 80205",Denver,Cole,Active,12,3000,2021,https://dug.org/find-gardens/39th-Avenue-Community-Garden/,a211N000003Nnb4,2-Orange: Midtown Mung Beans,Public,80205,General,Garden,Active - Public  Garden,Public  Garden
48th & Julian Community Garden,39.784132,-105.030786,"48th and Julian, Denver, CO 80221",Denver,Sunnyside,Under Construction,,,2023,,a213l000002vxZL,,Public,80221,General,Garden,Under Construction - Public  Garden,Public  Garden
48th & Julian Food Forest,39.784132,-105.030786,"4800 Julian St, Denver, CO 80221",Denver,Sunnyside,Under Construction,,,2023,,a21Rd000000AykT,,Public,80221,General,Food Forest,Under Construction - Public  Food Forest,Public  Food Forest
Allison Community Gardens at Semper Farm,39.864787,-105.07092,"NW corner of 92nd & Pierce, Westminster, CO 80021",Jefferson,,Active,24,6900,2006,https://dug.org/find-gardens/Allison-Community-Gardens-at-Semper-Farm/,a211N000002Jm7y,1-Maroon: Northside Nasturtiums,Public,80021,General,Garden,Active - Public  Garden,Public  Garden
Anythink Commerce City Library Community Garden,39.826747,-104.913505,"7185 Monaco St., Commerce City, CO 80022",Adams,,Active,15,5000,2011,https://dug.org/find-gardens/Anythink-Commerce-City-Library-Community-Garden/,a211N000002Jm7z,1-Maroon: Northside Nasturtiums,Public,80022,General,Garden,Active - Public  Garden,Public  Garden
Anythink Perl Mack Library Community Garden,39.834607,-105.003594,"7611 Hilltop Cir, Sherrelwood, CO 80221",Adams,,Active,25,7100,2011,https://dug.org/find-gardens/Anythink-Perl-Mack-Library-Community-Garden/,a211N000002JmO6,1-Maroon: Northside Nasturtiums,Public,80221,General,Garden,Active - Public  Garden,Public  Garden
Anythink Wright Farms Community Garden,39.914509,-104.918568,"5877 E 120th Avenue, Thornton, CO 80602",Adams,,Active,40,10000,2013,https://dug.org/find-gardens/Anythink-Wright-Farms-Community-Garden/,a211N000002Jm80,1-Maroon: Northside Nasturtiums,Public,80602,General,Garden,Active - Public  Garden,Public  Garden
APDC Food Forest,39.741126,-104.883159,"1537 Alton St, Aurora, CO 80010",Adams,,Active,,,2023,,a21Rd000000GQmX,,Public,80010,General,Food Forest,Active - Public  Food Forest,Public  Food Forest
Applewood Community Garden,39.760696,-105.144622,"12930 W. 32nd Ave, Golden, CO 80401",Jefferson,,Active,28,6100,2007,https://dug.org/find-gardens/Applewood-Community-Garden/,a211N000002Jm81,3-Green: SouthWest Sugar Snap Peas,Public,80401,General,Garden,Active - Public  Garden,Public  Garden
Asian Pacific Development Center Community Garden,39.741126,-104.883159,"1537 Alton Street, Aurora, CO 80010",Adams,,Active,41,13100,2018,https://dug.org/find-gardens/Asian-Pacific-Development-Center-Community-Garden/,a211N000002e62u,7-Blue: Eastern Eggplants,Public,80010,General,Garden,Active - Public  Garden,Public  Garden
Aurora Mental Health Center Community Garden,39.653843,-104.822099,"14301 East Hampden Ave, Aurora, CO 80014",Arapahoe,,Active,18,10000,2014,https://dug.org/find-gardens/Aurora-Mental-Health-Center-Community-Garden/,a211N000002Jm85,7-Blue: Eastern Eggplants,Public,80014,General,Garden,Active - Public  Garden,Public  Garden
Aurora Quest Community Garden,39.719589,-104.787758,"17315 E 2nd Ave, Aurora, CO 80011",Arapahoe,,Active,22,11000,2017,https://dug.org/find-gardens/Aurora-Quest-Community-Garden/,a211N000002JmA1,7-Blue: Eastern Eggplants,Public,80011,School,Garden,Active - Public School  Garden,Public School  Garden
Baker Community Garden,39.714979,-104.989653,"75 W. Bayaud, Denver, CO 80223",Denver,Baker,Active,22,7400,1991,https://dug.org/find-gardens/Baker-Community-Garden/,a211N000002Jm86,4-Purple: Central Cucumbers,Public,80223,General,Garden,Active - Public  Garden,Public  Garden
Barnum Orchard,39.719163,-105.034032,"151 N King St, Denver, CO 80219",Denver,Barnum,Active,5,8300,2016,https://dug.org/find-gardens/Barnum-Orchard/,a211N000002Jm88,5-Coral: Southern Spicy Peppers,Public,80219,General,Food Forest,Active - Public  Food Forest,Public  Food Forest
Barrett Elementary School Community Garden,39.759374,-104.942814,"2900 Richard Allen Ct., Denver, CO 80205",Denver,Skyland,Active,19,3200,2014,https://dug.org/find-gardens/Barrett-Elementary-School-Community-Garden/,a211N000002Jm89,2-Orange: Midtown Mung Beans,Public,80205,School,Garden,Active - Public School  Garden,Public School  Garden
Beeler Street Community Garden,39.743372,-104.881268,"1675 Beeler Street, Aurora, CO 80010",Adams,,Active,46,5000,1995,https://dug.org/find-gardens/Beeler-Street-Community-Garden/,a211N000002Jm8A,7-Blue: Eastern Eggplants,Public,80010,General,Garden,Active - Public  Garden,Public  Garden
Belmar Community Garden,39.708827,-105.072598,"455 S Pierce St., Lakewood, CO 80226",Jefferson,,Active,24,17600,2012,https://dug.org/find-gardens/Belmar-Community-Garden/,a211N000002Jm8B,5-Coral: Southern Spicy Peppers,Public,80226,General,Garden,Active - Public  Garden,Public  Garden
Belmar Groves Community Garden,39.712458,-105.078843,"259 S Teller Street, Lakewood, CO 80226",Jefferson,,Under Construction,17,2600,2014,,a211N000002Jm8C,5-Coral: Southern Spicy Peppers,Private,80226,Low Income Housing,Garden,Under Construction - Private  Garden,Private  Garden
Beyond Home Community Garden,39.808169,-105.079685,"7447 W. 61st Ave, Arvada, CO 80003",Jefferson,,Active,20,8000,2020,https://dug.org/find-gardens/Beyond-Home-Community-Garden/,a213l000003VzSG,1-Maroon: Northside Nasturtiums,Private,80003,Low Income Housing,Garden,Active - Private  Garden,Private  Garden
Birch Community Garden at the Salvation Army,39.931731,-105.058112,"1080 Birch St.  CO 80020, Broomfield, CO 80020",Broomfield,,Active,20,2000,,https://dug.org/find-gardens/Birch-Community-Garden-at-the-Salvation-Army/,a211N000002fvzM,1-Maroon: Northside Nasturtiums,Private,80020,,Garden,Active - Private  Garden,Private  Garden
Blue Spruce Community Garden,39.727627,-104.903092,"Quebec St and Severn Pl, Denver, CO 80220",Denver,Lowry Field,Active,12,2800,2002,https://dug.org/find-gardens/Blue-Spruce-Community-Garden/,a211N000002Jm8E,6-Yellow: East Central Endive,Public,80220,General,Garden,Active - Public  Garden,Public  Garden
Bromwell School Community Garden,39.72231,-104.958015,"2500 E. 4th Ave, Denver, CO 80206",Denver,Cherry Creek,Active,10,4800,1999,https://dug.org/find-gardens/Bromwell-School-Community-Garden/,a211N000002Jm8F,4-Purple: Central Cucumbers,Public,80206,School,Garden,Active - Public School  Garden,Public School  Garden
Brown School Community Garden,39.754559,-105.03326,"2550 Lowell Blvd, Denver, CO 80211",Denver,Sloans Lake,Active,10,5400,2008,https://dug.org/find-gardens/Brown-School-Community-Garden/,a211N000002Jm8G,2-Orange: Midtown Mung Beans,Public,80211,School,Garden,Active - Public School  Garden,Public School  Garden
Bruce Randolph Community Garden,39.764423,-104.970786,"1402 Bruce Randolph Ave, Denver, CO 80205",Denver,Cole,Active,10,3900,1997,https://dug.org/find-gardens/Bruce-Randolph-Community-Garden/,a211N000002Jm8H,2-Orange: Midtown Mung Beans,Public,80205,General,Garden,Active - Public  Garden,Public  Garden
Bryant Webster Community Garden,39.766973,-105.008619,"3635 North Quivas Street, Denver, CO 80211",Denver,Highland,Active,12,4200,2016,https://dug.org/find-gardens/Bryant-Webster-Community-Garden/,a211N000002Jm8I,2-Orange: Midtown Mung Beans,Public,80211,School,Garden,Active - Public School  Garden,Public School  Garden
Casa Redonda de Vigil Community Garden,39.821255,-105.000703,"1080 W 69th Ave, Denver, CO 80221",Adams,Berkeley,Under Construction,8,5000,2017,https://dug.org/find-gardens/Casa-Redonda-de-Vigil-Community-Garden/,a211N000002e634,1-Maroon: Northside Nasturtiums,Private,80221,Senior Housing,Garden,Under Construction - Private  Garden,Private  Garden
Casa Verde Community Garden,39.722628,-104.996669,"401 Galapago Street, Denver, CO 80204",Denver,Baker,Active,14,5000,1997,https://dug.org/find-gardens/Casa-Verde-Community-Garden/,a211N000002Jm8L,4-Purple: Central Cucumbers,Public,80204,General,Garden,Active - Public  Garden,Public  Garden
Cedar Gardens Community Garden,39.712527,-105.073831,"6990 W Cedar Ave, Lakewood, CO 80226",Jefferson,,Active,8,5000,2016,https://dug.org/find-gardens/Cedar-Gardens-Community-Garden/,a211N000002Jm8M,5-Coral: Southern Spicy Peppers,Private,80226,Senior Housing,Garden,Active - Private  Garden,Private  Garden
Cedar Hill Community Garden at Green Mountain United Methodist Church,39.713321,-105.141393,"12755 W Cedar Dr., Lakewood, CO 80228",Jefferson,,Active,25,3500,2020,https://dug.org/find-gardens/Cedar-Hill-Community-Garden-at-Green-Mountain-United-Methodist-Church/,a211N000002ef6Y,3-Green: SouthWest Sugar Snap Peas,Public,80228,General,Garden,Active - Public  Garden,Public  Garden
Cedar Park,39.713615,-105.032219,"160 South Knox Court, Denver, CO 80219",Denver,Barnum,Active,1,3000,,,a211N000002Kgln,5-Coral: Southern Spicy Peppers,Public,80219,General,Park,Active - Public  Park,Public  Park
Charles Hay School Community Garden,39.658099,-104.971892,"1221 E Eastman Ave, Englewood, CO 80113",Arapahoe,,Active,22,10000,2011,https://dug.org/find-gardens/Charles-Hay-School-Community-Garden/,a211N000002Jm8N,5-Coral: Southern Spicy Peppers,Public,80113,School,Garden,Active - Public School  Garden,Public School  Garden
Chatfield Community Garden at St. Gregory's,39.567579,-105.070973,"6653 W. Chatfield Ave., Littleton, CO 80128",Jefferson,,Active,85,20000,2011,https://dug.org/find-gardens/Chatfield-Community-Garden-at-St.-Gregory's/,a211N000002Jm8O,5-Coral: Southern Spicy Peppers,Public,80128,General,Garden,Active - Public  Garden,Public  Garden
Cheltenham Community Garden,39.742602,-105.030248,"1580 Julian St., Denver, CO 80204",Denver,West Colfax,Active,17,2800,1996,https://dug.org/find-gardens/Cheltenham-Community-Garden/,a211N000002Jm8P,4-Purple: Central Cucumbers,Public,80204,School,Garden,Active - Public School  Garden,Public School  Garden
Cheyenne Arapaho Park Community Garden,39.687059,-104.880848,"9200 E Iowa Ave, Denver, CO 80247",Arapahoe,,Active,22,7400,2023,https://dug.org/find-gardens/Cheyenne-Arapaho-Park-Community-Garden/,a211N000002Khcm,6-Yellow: East Central Endive,Public,80247,General,Garden,Active - Public  Garden,Public  Garden
City Lights at Benedict Park Place Community Garden,39.749115,-104.981499,"2260 Tremont Pl., Denver, CO 80205",Denver,Five Points,Active,21,5100,2011,https://dug.org/find-gardens/City-Lights-at-Benedict-Park-Place-Community-Garden/,a211N000002Jm8Q,2-Orange: Midtown Mung Beans,Public,80205,General,Garden,Active - Public  Garden,Public  Garden
Cityscape at Belmar Community Garden,39.706786,-105.073456,"500 S Reed Street, Lakewood, CO 80226",Jefferson,,Active,22,3000,2015,https://dug.org/find-gardens/Cityscape-at-Belmar-Community-Garden/,a211N000002Jm8R,5-Coral: Southern Spicy Peppers,Private,80226,Senior Housing,Garden,Active - Private  Garden,Private  Garden
Clayton School Community Garden,39.632808,-104.992888,"475 W. Union Ave., Englewood, CO 80110",Arapahoe,,Active,24,17400,2011,https://dug.org/find-gardens/Clayton-School-Community-Garden/,a211N000002Jm8S,5-Coral: Southern Spicy Peppers,Public,80110,School,Garden,Active - Public School  Garden,Public School  Garden
Cole Community Garden,39.76218,-104.970992,"1350 E. 33rd Ave., Denver, CO 80205",Denver,Whittier,Active,16,7100,1997,https://dug.org/find-gardens/Cole-Community-Garden/,a211N000002Jm8T,2-Orange: Midtown Mung Beans,Public,80205,School,Garden,Active - Public School  Garden,Public School  Garden
Commons Park Community Garden,39.758908,-105.003927,"18th & Little Raven St., Denver, CO 80202",Denver,,Active,31,4000,2022,https://dug.org/find-gardens/Commons-Park-Community-Garden/,a211N000002e68J,2-Orange: Midtown Mung Beans,Public,80202,General,Garden,Active - Public  Garden,Public  Garden
Connect Auraria Community Garden,39.7435,-105.001677,"North Speer Boulevard & Saint Francis Way, Denver, CO 80204",Denver,Auraria,Active,16,3600,2015,https://dug.org/find-gardens/Connect-Auraria-Community-Garden/,a211N000002JmO7,4-Purple: Central Cucumbers,Public,80204,General,Garden,Active - Public  Garden,Public  Garden
Cook Park Community Garden,39.686,-104.920243,"5800 E Mexico Ave, Denver, CO 80222",Denver,Virginia Village,Active,62,38000,1985,https://dug.org/find-gardens/Cook-Park-Community-Garden/,a211N000002Jm8V,6-Yellow: East Central Endive,Public,80222,School,Garden,Active - Public School  Garden,Public School  Garden
Cook Park Food Forest,39.686,-104.920243,"5800 E Mexico Ave, Denver, CO 80224",Denver,,Active,,,2022,https://dug.org/find-gardens/Cook-Park-Food-Forest/,a213l000003XDix,,Public,80224,General,Food Forest,Active - Public  Food Forest,Public  Food Forest
Courthouse Square Community Garden,39.739,-104.999395,"901 W 14th Ave, Denver, CO 80204",Denver,Lincoln Park,Active,15,3500,2006,https://dug.org/find-gardens/Courthouse-Square-Community-Garden/,a211N000002Jm8W,4-Purple: Central Cucumbers,Private,80204,Low Income Housing,Garden,Active - Private  Garden,Private  Garden
Creekside Community Garden,39.744124,-105.071167,"1700 Pierce St, Lakewood, CO 80214",Jefferson,,Active,20,5000,2007,https://dug.org/find-gardens/Creekside-Community-Garden/,a211N000002Jm8X,3-Green: SouthWest Sugar Snap Peas,Private,80214,Senior Housing,Garden,Active - Private  Garden,Private  Garden
DCIS Baker Community Garden,39.724901,-104.993885,"574 W 6th Ave, Denver, CO 80204",Denver,Baker,Active,16,1400,2014,https://dug.org/find-gardens/DCIS-Baker-Community-Garden/,a211N000002Jm8Z,4-Purple: Central Cucumbers,Public,80204,School,Garden,Active - Public School  Garden,Public School  Garden
DeLaney Community Garden,39.7147727,-104.8072423,"170 S. Chambers Rd., Aurora, CO 80011",Arapahoe,,Active,36,29400,2008,https://dug.org/find-gardens/DeLaney-Community-Garden/,a211N000002Jm8a,7-Blue: Eastern Eggplants,Public,80011,General,Garden,Active - Public  Garden,Public  Garden
Del Mar Academy Community Garden,39.718715,-104.841932,"12445 E 2nd Ave, Aurora, CO 80011",Arapahoe,,Active,18,4800,2017,,a211N000002Jm9b,7-Blue: Eastern Eggplants,Public,80011,School,Garden,Active - Public School  Garden,Public School  Garden
Denver Botanic Gardens Community Garden,39.732787,-104.955754,"1045 Clayton St., Denver, CO 80206",Denver,Congress Park,Active,108,27100,2009,https://dug.org/find-gardens/Denver-Botanic-Gardens-Community-Garden/,a211N000002JmO8,4-Purple: Central Cucumbers,Private,80206,General,Garden,Active - Private  Garden,Private  Garden
Denver Green School Community Garden,39.706068,-104.909439,"6700 E. Virginia Ave., Denver, CO 80224",Denver,Washington Virginia Vale,Active,26,10000,2011,https://dug.org/find-gardens/Denver-Green-School-Community-Garden/,a211N000002Jm8b,6-Yellow: East Central Endive,Public,80224,School,Garden,Active - Public School  Garden,Public School  Garden
Denver Language School at Gilpin Community Garden,39.757117,-104.977333,"2949 California St, Denver, CO 80205",Denver,Five Points,Active,9,5000,2019,https://dug.org/find-gardens/Denver-Language-School-at-Gilpin-Community-Garden/,a211N000002TDSX,2-Orange: Midtown Mung Beans,Public,80205,School,Garden,Active - Public School  Garden,Public School  Garden
Denver Language School at Whiteman Community Garden,39.72235,-104.91031,"451 Newport Street, Denver, CO 80220",Denver,Hilltop,Active,17,4600,2014,https://dug.org/find-gardens/Denver-Language-School-at-Whiteman-Community-Garden/,a211N000002Jm8c,6-Yellow: East Central Endive,Public,80220,School,Garden,Active - Public School  Garden,Public School  Garden
DHA Barney Ford Heights Community Garden,39.748057,-104.976467,"2024 Clarkson St., Denver, CO 80205",Denver,Whittier,Active,12,900,2005,https://dug.org/find-gardens/DHA-Barney-Ford-Heights-Community-Garden/,a211N000002Jm87,2-Orange: Midtown Mung Beans,Private,80205,Low Income Housing,Garden,Active - Private  Garden,Private  Garden
DHA Casa Loma Community Garden,39.769764,-105.016882,"3850 North Alcott Street, Denver, CO 80211",Denver,Sunnyside,Active,6,250,2015,https://dug.org/find-gardens/DHA-Casa-Loma-Community-Garden/,a211N000002Jm8K,2-Orange: Midtown Mung Beans,Private,80211,Low Income Housing,Garden,Active - Private  Garden,Private  Garden
DHA Gold Community Garden (Mountain View Towers),39.694012,-105.024234,"1212 S. Federal Boulevard, Denver, CO 80219",Denver,Ruby Hill,Active,65,10850,2013,https://dug.org/find-gardens/DHA-Gold-Community-Garden-(Mountain-View-Towers)/,a211N000002JmOA,5-Coral: Southern Spicy Peppers,Private,80219,Low Income Housing,Garden,Active - Private  Garden,Private  Garden
DHA Hirschfeld Tower Community Garden,39.717023,-104.992472,"333 W. Ellsworth Ave, Denver, CO 80223",Denver,Baker,Active,17,3500,2014,https://dug.org/find-gardens/DHA-Hirschfeld-Tower-Community-Garden/,a211N000002Jm9I,4-Purple: Central Cucumbers,Private,80223,Low Income Housing,Garden,Active - Private  Garden,Private  Garden
DHA Mountain View Towers/Eliot Cottages Community Gardens,39.694012,-105.024234,"1212 S Federal Blvd, Denver, CO 80219",Denver,Ruby Hill,Active,28,5000,2013,https://dug.org/find-gardens/DHA-Mountain-View-Towers/Eliot-Cottages-Community-Gardens/,a211N000002Jm9o,5-Coral: Southern Spicy Peppers,Private,80219,Low Income Housing,Garden,Active - Private  Garden,Private  Garden
DHA Mulroy Community Garden,39.735934,-105.033879,"1300 Knox Ct., Denver, CO 80204",Denver,West Colfax,Active,15,1900,1998,https://dug.org/find-gardens/DHA-Mulroy-Community-Garden/,a211N000002Jm9p,4-Purple: Central Cucumbers,Private,80204,Low Income Housing,Garden,Active - Private  Garden,Private  Garden
DHA North Lincoln Community Garden,39.73891,-105.003996,"1425 Mariposa Street, Denver, CO 80204",Denver,Lincoln Park,Active,9,1300,2016,https://dug.org/find-gardens/DHA-North-Lincoln-Community-Garden/,a211N000002Jm9r,4-Purple: Central Cucumbers,Private,80204,Low Income Housing,Garden,Active - Private  Garden,Private  Garden
DHA Quigg Newton Garden,39.778962,-105.003681,"4407 Mariposa Way, Denver, CO 80211",Denver,Sunnyside,Active,17,4300,1996,https://dug.org/find-gardens/DHA-Quigg-Newton-Garden/,a211N000002JmA2,2-Orange: Midtown Mung Beans,Private,80211,Low Income Housing,Garden,Active - Private  Garden,Private  Garden
DHA South Lowell Community Garden,39.631648,-105.034913,"4725 South Lowell Boulevard, Denver, CO 80211",Denver,Fort Logan,Active,20,5000,2015,https://dug.org/find-gardens/DHA-South-Lowell-Community-Garden/,a211N000002JmAK,,Private,80211,Low Income Housing,Garden,Active - Private  Garden,Private  Garden
DHA Syracuse Community Garden,39.637614,-104.899847,"4333 South Syracuse Street, Denver, CO 80237",Denver,Hampden South,Active,20,5000,2015,https://dug.org/find-gardens/Syracuse-Community-Garden/,a211N000002JmAW,6-Yellow: East Central Endive,Private,80237,Low Income Housing,Garden,Active - Private  Garden,Private  Garden
DHA Tapiz Community Garden,39.732957,-105.004848,"1099 Osage St, Denver, CO 80204",Denver,Lincoln Park,Active,8,5000,2012,https://dug.org/find-gardens/DHA-Tapiz-Community-Garden/,a211N000002JmAX,4-Purple: Central Cucumbers,Private,80204,Low Income Housing,Garden,Active - Private  Garden,Private  Garden
Doull Elementary Food Forest,39.67289,-105.04325,"2520 S Utica St, Denver, CO 80219",Denver,,Active,,,2023,,a21Rd000000GAjN,,Public,80219,School,Food Forest,Active - Public School  Food Forest,Public School  Food Forest
Doull School Community Garden,39.67289,-105.04325,"2520 S. Utica St., Denver, CO 80219",Denver,Harvey Park,Active,10,5000,2011,https://dug.org/find-gardens/Doull-School-Community-Garden/,a211N000002Jm8d,5-Coral: Southern Spicy Peppers,Public,80219,School,Garden,Active - Public School  Garden,Public School  Garden
DU Bridge Community Garden,39.674397,-104.963809,"2320 S Race Street, Denver, CO 80210",Denver,University,Active,37,5250,2009,https://dug.org/find-gardens/DU-Bridge-Community-Garden/,a211N000002Jm8e,5-Coral: Southern Spicy Peppers,Public,80210,General,Garden,Active - Public  Garden,Public  Garden
Earl Lee Evans Community and Sensory Garden at Firefly Autism,39.748606,-105.104305,"2001 Hoyt St, Lakewood, CO 80215",Jefferson,Morse Park,Active,23,10000,2023,,a213l000003XDbc,,Public,80215,School,Garden,Active - Public School  Garden,Public School  Garden
East Middle School Community Garden,39.733628,-104.814496,"1275 Fraser St, Aurora, CO 80011",Arapahoe,,Active,26,5000,2018,https://dug.org/find-gardens/East-Middle-School-Community-Garden/,a211N000002e62p,7-Blue: Eastern Eggplants,Public,80011,School,Garden,Active - Public School  Garden,Public School  Garden
Eaton Senior Community Garden at The Residences,39.709594,-105.06025,"333 S. Eaton St, Lakewood, CO 80226",Jefferson,,Active,6,5000,2011,https://dug.org/find-gardens/Eaton-Senior-Community-Garden-at-The-Residences/,a211N000002Jm8g,5-Coral: Southern Spicy Peppers,Private,80226,Senior Housing,Garden,Active - Private  Garden,Private  Garden
